tenant_id,month_start,sale_count,unit_count,amount_total
1,2026-01-01,7750,38771,35378.75
1,2026-02-01,7000,34944,38150.00
1,2026-03-01,7750,38785,49096.25
1,2026-04-01,7500,37521,54375.00
2,2026-01-01,7750,38715,43128.75
2,2026-02-01,7000,35056,45150.00
2,2026-03-01,7750,38729,56846.25
2,2026-04-01,7500,37506,61875.00
3,2026-01-01,7750,38785,50878.75
3,2026-02-01,7000,35006,52150.00
3,2026-03-01,7750,38709,64596.25
3,2026-04-01,7500,37482,69375.00
4,2026-01-01,7750,38729,58628.75
4,2026-02-01,7000,34947,59150.00
4,2026-03-01,7750,38824,72346.25
4,2026-04-01,7500,37485,76875.00
5,2026-01-01,7750,38709,66378.75
5,2026-02-01,7000,35041,66150.00
5,2026-03-01,7750,38750,80096.25
5,2026-04-01,7500,37515,84375.00
6,2026-01-01,7750,38824,74128.75
6,2026-02-01,7000,35000,73150.00
6,2026-03-01,7750,38676,87846.25
6,2026-04-01,7500,37518,91875.00
7,2026-01-01,7750,38750,81878.75
7,2026-02-01,7000,34959,80150.00
7,2026-03-01,7750,38791,95596.25
7,2026-04-01,7500,37494,99375.00
8,2026-01-01,7750,38676,89628.75
8,2026-02-01,7000,35053,87150.00
8,2026-03-01,7750,38771,103346.25
8,2026-04-01,7500,37479,106875.00
