query_id,product_id,grade,rationale
q01,1,3,wireless headphones are the exact intent
q01,2,1,portable speaker is related audio equipment
q01,3,2,wired headphones satisfy the product class
q02,1,3,typo-corrected exact intent
q02,2,1,related audio fallback
q02,3,2,headphone class remains relevant
q03,1,2,travel headphones also match mobile music
q03,2,3,portable speaker best matches mobile music
q03,3,1,studio headphones are weaker for mobility
q04,4,3,grinder exactly matches coffee beans
q04,5,1,espresso workflow often needs a grinder
q04,6,1,pour-over workflow also needs ground coffee
q05,4,2,grinder is important to espresso preparation
q05,5,3,espresso machine is the exact task
q05,6,1,another home coffee preparation method
q06,7,3,water bottle exactly serves trail hydration
q06,8,2,backpack includes a hydration sleeve
q06,9,1,water filter supports backcountry hydration
q07,10,3,administration handbook covers database tuning
q07,11,2,performance course covers PostgreSQL tuning
q07,12,1,vector search guide is a PostgreSQL engineering book
q08,10,1,PostgreSQL administration is adjacent reference material
q08,11,1,database performance is adjacent engineering material
q08,12,3,guide exactly covers semantic nearest-neighbor retrieval
