attempt_id,event_id,occurred_at,received_at,courier_id,event_type,longitude,latitude,source_sequence
a001,e001,2026-03-07T23:55:00Z,2026-03-08T08:00:00Z,c1,position,-74.00000,40.71000,1
a002,e002,2026-03-08T06:55:00Z,2026-03-08T06:55:10Z,c1,pickup,-74.00500,40.70500,2
a003,e003,2026-03-08T07:05:00Z,2026-03-08T07:05:20Z,c1,position,-73.99000,40.71000,3
a004,e003,2026-03-08T07:05:00Z,2026-03-08T07:06:00Z,c1,position,-73.99000,40.71000,3
a005,e004,2026-03-08T11:55:00Z,2026-03-08T12:10:00Z,c1,position,-73.98500,40.71000,4
a006,e005,2026-03-08T12:00:00Z,2026-03-08T12:00:05Z,c1,position,-73.98500,40.71000,5
a007,e006,2026-03-08T12:05:00Z,2026-03-08T12:05:05Z,c1,delivered,-73.98200,40.71500,6
a008,e007,2026-03-08T15:00:00Z,2026-03-08T15:00:08Z,c2,pickup,-73.87500,40.65000,1
a009,e008,2026-03-08T23:59:59Z,2026-03-09T00:00:04Z,c2,position,-73.99500,40.71800,2
a010,e009,2026-03-09T00:00:00Z,2026-03-09T00:00:03Z,c2,position,-74.00500,40.70200,3
a011,e010,2026-03-09T10:00:00Z,2026-03-09T10:00:07Z,c2,position,-74.05000,40.75000,4
a012,e011,2026-03-09T18:00:00Z,2026-03-09T18:00:06Z,c2,delivered,-73.97500,40.71500,5
a013,e012,2026-03-09T23:30:00Z,2026-03-09T23:30:09Z,c3,pickup,-73.86000,40.66000,1
