product_id,sku,category,active,title,description,embedding
1,AUD-001,audio,true,Wireless Noise-Canceling Headphones,Over-ear headphones for focused listening during travel.,"[1,0,0,0]"
2,AUD-002,audio,true,Portable Bluetooth Speaker,Compact speaker for music on the go with a twelve-hour battery.,"[0.9,0,0,0]"
3,AUD-003,audio,true,Wired Studio Headphones,Reference headphones for recording and mixing.,"[0.84,0,0,0]"
4,KIT-001,kitchen,true,Burr Coffee Grinder,Conical burr grinder for fresh coffee beans and adjustable grind size.,"[0,1,0,0]"
5,KIT-002,kitchen,true,Home Espresso Machine,Compact machine for making espresso and steaming milk at home.,"[0,0.9,0,0]"
6,KIT-003,kitchen,true,Pour-Over Coffee Maker,Manual brewer for clean coffee with a reusable filter.,"[0,0.82,0,0]"
7,OUT-001,outdoor,true,Insulated Trail Water Bottle,Steel bottle for cold trail hydration on long hikes.,"[0,0,1,0]"
8,OUT-002,outdoor,true,Lightweight Hiking Backpack,Twenty-liter trail pack with a hydration sleeve.,"[0,0,0.9,0]"
9,OUT-003,outdoor,true,Camping Water Filter,Portable filter for safe water during backcountry trips.,"[0,0,0.84,0]"
10,BOK-001,books,true,PostgreSQL Administration Handbook,Operations guide for backup recovery replication and database tuning.,"[0,0,0,1]"
11,BOK-002,books,true,Database Performance Course,Hands-on PostgreSQL query planning indexing and database tuning.,"[0,0,0,0.9]"
12,BOK-003,books,true,Vector Search Engineering Guide,Practical semantic nearest-neighbor retrieval with embeddings and PostgreSQL.,"[0.25,0,0,0.82]"
13,AUD-004,audio,true,USB-C Audio Adapter,Compact adapter for wired headphones and mobile devices.,"[0.55,0,0,0]"
14,KIT-004,kitchen,true,Digital Coffee Scale,Compact scale for repeatable coffee brewing.,"[0,0.6,0,0]"
15,OUT-004,outdoor,true,Merino Hiking Socks,Lightweight socks for long trail days.,"[0,0,0.55,0]"
16,BOK-004,books,true,SQL Pocket Reference,Compact reference for SQL syntax and common queries.,"[0,0,0,0.55]"
17,AUD-005,audio,false,Legacy Wireless Earbuds,Discontinued wireless earbuds retained for active-filter tests.,"[0.95,0,0,0]"
